Frequency (Hz) - Plot 0,gain 0,gain 20,gain 40,gain 60
1,-120.079949,-104.602619,-74.78867,-69.529282
2,-119.983067,-113.12678,-78.099355,-75.095371
3,-118.131311,-116.601549,-84.143417,-80.934694
4,-122.282616,-115.664298,-86.828933,-83.957176
5,-124.670014,-118.242348,-90.051065,-86.365533
6,-127.241706,-120.713272,-89.866193,-88.072023
7,-128.384973,-121.579223,-91.8019,-89.079633
8,-121.920205,-122.246086,-93.808009,-90.431567
9,-126.362994,-120.203885,-95.053858,-91.824184
10,-125.973004,-122.229062,-95.71197,-92.698427
11,-126.574342,-121.887803,-96.603841,-93.306703
12,-126.521907,-121.921272,-96.889765,-94.780561
13,-127.236033,-122.466041,-97.134148,-94.717901
14,-126.794375,-122.510959,-98.135673,-94.309346
15,-125.339238,-125.905497,-99.829417,-95.900964
16,-127.95931,-125.328034,-98.272603,-96.237332
17,-126.753545,-128.100004,-99.359026,-96.646458
18,-126.106871,-123.14372,-101.990539,-97.698488
19,-127.450186,-123.907061,-101.138715,-98.359952
20,-129.158314,-123.263347,-101.534011,-96.960204
21,-126.414269,-121.871579,-101.776334,-98.586247
22,-130.673832,-125.113875,-102.14979,-99.574315
23,-124.275053,-125.882491,-102.324273,-98.479427
24,-125.115612,-126.754917,-104.356838,-99.589865
25,-124.997683,-125.300362,-103.109154,-99.280321
26,-129.751988,-127.234577,-103.899345,-100.47299
27,-128.901182,-122.265521,-104.776482,-98.546604
28,-125.465563,-123.365602,-104.102474,-100.658527
29,-128.636605,-124.111587,-103.944414,-100.046968
30,-127.342778,-125.129232,-103.640864,-101.131719
31,-125.982561,-123.449011,-104.975729,-102.161009
32,-130.352053,-122.753984,-104.6553,-101.822226
33,-127.850281,-124.097153,-104.732055,-102.350655
34,-126.874019,-124.923136,-104.487493,-102.801955
35,-126.931866,-126.103344,-104.965756,-101.367384
36,-127.820559,-124.870571,-105.652935,-101.752314
37,-128.940088,-125.719779,-105.744482,-101.634351
38,-128.322284,-125.897102,-106.240427,-102.327653
39,-126.344839,-122.966431,-106.180042,-103.303301
40,-125.254871,-122.922457,-107.682548,-101.796255
41,-128.761343,-126.043977,-105.782587,-104.422696
42,-127.197945,-122.210221,-108.638098,-104.442104
43,-127.672857,-122.95593,-106.381017,-104.638043
44,-122.221233,-123.544532,-105.66024,-104.359068
45,-127.796962,-127.338131,-107.605761,-105.860837
46,-127.031142,-125.024445,-106.989594,-103.05255
47,-129.55802,-122.320277,-107.5154,-104.02285
48,-132.123944,-124.804695,-107.874807,-102.774217
49,-124.094857,-124.799859,-106.81614,-103.562626
50,-126.604773,-122.97603,-107.345417,-105.738846
51,-129.226005,-123.897329,-109.842834,-105.707938
52,-126.013058,-123.614937,-107.390277,-104.14212
53,-128.93429,-125.606841,-107.175649,-104.895617
54,-125.935129,-124.052358,-105.939229,-104.043653
55,-126.891016,-121.770336,-106.768254,-102.784481
56,-125.556244,-123.334013,-108.164455,-104.74807
57,-125.760022,-123.549171,-108.262747,-105.091032
58,-130.037426,-123.219353,-110.604714,-105.712652
59,-125.509847,-123.770691,-107.987055,-106.391038
60,-127.365454,-125.356765,-108.66189,-100.960679
61,-127.767684,-124.309107,-108.839014,-106.395521
62,-126.65957,-126.351859,-108.867792,-103.485109
63,-125.152496,-121.427705,-108.735868,-104.321786
64,-128.302556,-125.240135,-108.090228,-104.541278
65,-125.294331,-124.115887,-109.450321,-106.942119
66,-126.35796,-123.593196,-109.896458,-105.755797
67,-128.156366,-126.459423,-108.479848,-107.100855
68,-124.275366,-123.923261,-108.517329,-105.567323
69,-128.123804,-123.554772,-110.543116,-107.140111
70,-124.397989,-121.967453,-110.80092,-105.46653
71,-126.050076,-124.995989,-108.795871,-106.434855
72,-128.129491,-123.055245,-109.297669,-104.617874
73,-128.726891,-122.042492,-110.173377,-106.516893
74,-126.689251,-124.862752,-110.323782,-106.72463
75,-126.408334,-122.787349,-111.910129,-108.125253
76,-123.24234,-127.047387,-108.991267,-106.411206
77,-124.700638,-126.703242,-111.602382,-106.540871
78,-127.86526,-128.141968,-110.169894,-108.707963
79,-127.881559,-122.836682,-110.906173,-108.210435
80,-126.508093,-125.206206,-110.243469,-107.577258
81,-128.125211,-124.047346,-108.390229,-107.534477
82,-124.822923,-125.561211,-111.053203,-107.305931
83,-127.945566,-127.19071,-109.212595,-107.576599
84,-126.386848,-120.539026,-108.927596,-108.055517
85,-126.887077,-125.232245,-110.567256,-109.037729
86,-126.005983,-125.112593,-110.110422,-108.912535
87,-125.795984,-121.639604,-110.361946,-107.654124
88,-124.154546,-123.57236,-112.860003,-104.882422
89,-128.055077,-126.61566,-108.544267,-106.719007
90,-124.104485,-122.329622,-111.630841,-108.170626
91,-128.467959,-121.814492,-111.483045,-106.636846
92,-128.943096,-124.564344,-109.48008,-106.497561
93,-127.465402,-123.414601,-112.681817,-109.895256
94,-128.19002,-123.154295,-109.708398,-108.579846
95,-128.277046,-122.7294,-113.088476,-109.629207
